Ship-Country,Ship-State,Latitude (generated),Longitude (generated),Qty
IN,WEST BENGAL,24.4206,88.0343,5318
IN,UTTARAKHAND,30.0072,79.2531,1385
IN,UTTAR PRADESH,27.1861,80.835,9499
IN,TRIPURA,23.7373,91.6575,134
IN,TELANGANA,17.7956,79.0397,10253
IN,TAMIL NADU,10.8327,78.3436,10412
IN,Sikkim,27.6003,88.4524,3
IN,SIKKIM,27.6003,88.4524,179
IN,RAJASTHAN,26.686,73.8182,2367
IN,rajasthan,26.686,73.8182,6
IN,Rajasthan,26.686,73.8182,53
IN,punjab,31.0732,75.6577,13
IN,PUNJAB,31.0732,75.6577,1699
IN,Punjab,31.0732,75.6577,30
IN,Puducherry,11.9246,79.7813,1
IN,PUDUCHERRY,11.9246,79.7813,308
IN,Pondicherry,11.9246,79.7813,1
IN,orissa,20.2057,84.4853,1
IN,Orissa,20.2057,84.4853,2
IN,ODISHA,20.2057,84.4853,1890
IN,Odisha,20.2057,84.4853,18
IN,NAGALAND,26.1236,94.5493,180
IN,Nagaland,26.1236,94.5493,1
IN,Mizoram,23.2379,92.8631,1
IN,MIZORAM,23.2379,92.8631,68
IN,MEGHALAYA,25.5682,91.2546,184
IN,Meghalaya,25.5682,91.2546,0
IN,MANIPUR,24.7664,93.8647,289
IN,Manipur,24.7664,93.8647,5
IN,MAHARASHTRA,18.8493,75.4561,20328
IN,MADHYA PRADESH,23.5,78.5,2260
IN,LAKSHADWEEP,11.5517,72.1662,3
IN,LADAKH,33.9361,77.5824,40
IN,KERALA,10.5502,76.4434,5813
IN,KARNATAKA,15.0527,75.5344,15901
IN,JHARKHAND,23.75,85.5,1284
IN,JAMMU & KASHMIR,33.5619,75.1247,617
IN,HIMACHAL PRADESH,31.8285,77.3118,675
IN,HARYANA,29.3031,76.0522,4066
IN,Gujarat,23,72,4149
IN,goa,15.3474,74.1033,5
IN,Goa,15.3474,74.1033,28
IN,GOA,15.3474,74.1033,1022
IN,Delhi,28.6415,77.1259,150
IN,DELHI,28.6415,77.1259,6156
IN,delhi,28.6415,77.1259,20
IN,CHHATTISGARH,21.5,82,822
IN,Chandigarh,30.7308,76.7808,10
IN,CHANDIGARH,30.7308,76.7808,294
IN,bihar,25.75,85.75,1
IN,BIHAR,25.75,85.75,1847
IN,Bihar,25.75,85.75,27
IN,ASSAM,26.0667,90.7559,1483
IN,Arunachal pradesh,28.0762,94.9823,2
IN,Arunachal Pradesh,28.0762,94.9823,2
IN,ARUNACHAL PRADESH,28.0762,94.9823,130
IN,ANDHRA PRADESH,14.9176,78.7448,4819
IN,ANDAMAN & NICOBAR,12.612,92.8317,226
